"Country","year","on_ART_rate","on_ART_num","prevalence_num","incidence_num","incidence_rate","mortality_rate","mortality_num"
"Afghanistan","2010",1,60,4600,1000,0.03,0.01,500
"Afghanistan","2011",2,114,5100,1000,0.03,0.01,500
"Afghanistan","2012",3,161,5600,1000,0.03,0.01,500
"Afghanistan","2013",3,214,6300,1000,0.03,0.01,500
"Afghanistan","2014",4,281,6900,1000,0.03,0.01,500
"Afghanistan","2015",5,350,7600,1100,0.03,0.01,500
"Afghanistan","2016",7,554,8400,1200,0.04,0.01,500
"Afghanistan","2017",9,847,9200,1300,0.04,0.01,500
"Afghanistan","2018",9,924,10000,1400,0.04,0.01,500
"Afghanistan","2019",10,1044,11000,1500,0.04,0.01,500
"Afghanistan","2020",9,1094,12000,1600,0.04,0.01,1000
"Afghanistan","2021",9.33333333333333,1020.66666666667,11000,1500,0.04,0.01,666.666666666667
"Afghanistan","2022",9.44444444444444,1052.88888888889,11333.3333333333,1533.33333333333,0.04,0.01,722.222222222222
"Afghanistan","2023",9.25925925925926,1055.85185185185,11444.4444444444,1544.44444444444,0.04,0.01,796.296296296296
"Afghanistan","2024",9.34567901234568,1043.13580246914,11259.2592592593,1525.92592592593,0.04,0.01,728.395061728395
"Afghanistan","2025",9.34979423868313,1050.62551440329,11345.6790123457,1534.56790123457,0.04,0.01,748.971193415638
"Albania","2010",21,131,1000,200,0.04,0.01,100
"Albania","2011",24,175,1000,200,0.04,0.01,100
"Albania","2012",29,237,1000,200,0.04,0.01,100
"Albania","2013",37,333,1000,200,0.04,0.01,100
"Albania","2014",37,372,1000,200,0.04,0.01,100
"Albania","2015",40,439,1100,200,0.04,0.01,100
"Albania","2016",43,513,1200,200,0.04,0.01,100
"Albania","2017",45,568,1300,200,0.04,0.01,100
"Albania","2018",44,581,1300,200,0.04,0.01,100
"Albania","2019",44,611,1400,100,0.03,0.01,100
"Albania","2020",47,678,1400,100,0.03,0.01,100
"Albania","2021",45,623.333333333333,1366.66666666667,133.333333333333,0.0333333333333333,0.01,100
"Albania","2022",45.3333333333333,637.444444444444,1388.88888888889,111.111111111111,0.0311111111111111,0.01,100
"Albania","2023",45.7777777777778,646.259259259259,1385.18518518519,114.814814814815,0.0314814814814815,0.01,100
"Albania","2024",45.3703703703704,635.679012345679,1380.24691358025,119.753086419753,0.0319753086419753,0.01,100
"Albania","2025",45.4938271604938,639.794238683128,1384.77366255144,115.22633744856,0.031522633744856,0.01,100
"Algeria","2010",38,2221,5800,1000,0.02,0.01,200
"Algeria","2011",41,2680,6500,1000,0.02,0.01,200
"Algeria","2012",47,3396,7300,1000,0.03,0.01,200
"Algeria","2013",56,4642,8200,1100,0.03,0.01,200
"Algeria","2014",64,6020,9400,1400,0.04,0.01,200
"Algeria","2015",71,7718,11000,1700,0.04,0.01,200
"Algeria","2016",77,9551,12000,1700,0.04,0.01,200
"Algeria","2017",79,11044,14000,1700,0.04,0.01,200
"Algeria","2018",83,12759,15000,1700,0.04,0.01,200
"Algeria","2019",85,14390,17000,1600,0.04,0.01,200
"Algeria","2020",85,15564,18000,1700,0.04,0.01,200
"Algeria","2021",84.3333333333333,14237.6666666667,16666.6666666667,1666.66666666667,0.04,0.01,200
"Algeria","2022",84.7777777777778,14730.5555555556,17222.2222222222,1655.55555555556,0.04,0.01,200
"Algeria","2023",84.7037037037037,14844.0740740741,17296.2962962963,1674.07407407407,0.04,0.01,200
"Algeria","2024",84.6049382716049,14604.0987654321,17061.7283950617,1665.43209876543,0.04,0.01,200
"Algeria","2025",84.6954732510288,14726.2427983539,17193.4156378601,1665.02057613169,0.04,0.01,200
"Angola","2010",9,22036,250000,29000,1.31,0.58,14000
"Angola","2011",10,26556,260000,30000,1.28,0.59,14000
"Angola","2012",12,31736,270000,29000,1.22,0.6,15000
"Angola","2013",17,48413,290000,29000,1.15,0.6,16000
"Angola","2014",21,63028,3e+05,27000,1.05,0.55,15000
"Angola","2015",23,71541,310000,26000,0.99,0.51,14000
"Angola","2016",22,69841,320000,26000,0.94,0.51,15000
"Angola","2017",24,78721,320000,26000,0.91,0.54,16000
"Angola","2018",27,88734,330000,25000,0.84,0.56,17000
"Angola","2019",28,93310,340000,23000,0.76,0.53,17000
"Angola","2020",33,111188,340000,22000,0.69,0.5,16000
"Angola","2021",29.3333333333333,97744,336666.666666667,23333.3333333333,0.763333333333333,0.53,16666.6666666667
"Angola","2022",30.1111111111111,100747.333333333,338888.888888889,22777.7777777778,0.737777777777778,0.52,16555.5555555556
"Angola","2023",30.8148148148148,103226.444444444,338518.518518519,22703.7037037037,0.73037037037037,0.516666666666667,16407.4074074074
"Angola","2024",30.0864197530864,100572.592592593,338024.691358025,22938.2716049383,0.743827160493827,0.522222222222222,16543.2098765432
"Angola","2025",30.3374485596708,101515.456790123,338477.366255144,22806.5843621399,0.737325102880658,0.51962962962963,16502.0576131687
"Argentina","2010",47,46566,1e+05,6100,0.15,0.04,1500
"Argentina","2011",49,51221,1e+05,6100,0.15,0.03,1400
"Argentina","2012",52,55876,110000,6000,0.15,0.03,1400
"Argentina","2013",54,60529,110000,6000,0.14,0.03,1300
"Argentina","2014",56,65185,120000,6000,0.14,0.03,1300
"Argentina","2015",58,69840,120000,6000,0.14,0.03,1300
"Argentina","2016",60,74493,120000,6000,0.14,0.03,1300
"Argentina","2017",61,79148,130000,5900,0.14,0.03,1400
"Argentina","2018",63,83803,130000,5900,0.13,0.03,1400
"Argentina","2019",65,88968,140000,5800,0.13,0.03,1400
"Argentina","2020",65,90770,140000,5600,0.13,0.03,1400
"Argentina","2021",64.3333333333333,87847,136666.666666667,5766.66666666667,0.13,0.03,1400
"Argentina","2022",64.7777777777778,89195,138888.888888889,5722.22222222222,0.13,0.03,1400
"Argentina","2023",64.7037037037037,89270.6666666667,138518.518518519,5696.2962962963,0.13,0.03,1400
"Argentina","2024",64.6049382716049,88770.8888888889,138024.691358025,5728.3950617284,0.13,0.03,1400
"Argentina","2025",64.6954732510288,89078.8518518519,138477.366255144,5715.6378600823,0.13,0.03,1400
"Armenia","2010",6,250,3900,500,0.1,0.06,200
"Armenia","2011",8,320,3900,500,0.09,0.07,200
"Armenia","2012",12,449,3900,500,0.08,0.07,200
"Armenia","2013",15,579,3900,500,0.08,0.06,200
"Armenia","2014",19,740,3900,500,0.08,0.06,200
"Armenia","2015",24,941,4000,500,0.09,0.06,200
"Armenia","2016",29,1188,4100,500,0.09,0.05,200
"Armenia","2017",37,1530,4200,500,0.09,0.04,200
"Armenia","2018",43,1871,4400,500,0.1,0.03,100
"Armenia","2019",48,2190,4500,500,0.1,0.02,100
"Armenia","2020",48,2305,4800,500,0.11,0.02,100
"Armenia","2021",46.3333333333333,2122,4566.66666666667,500,0.103333333333333,0.0233333333333333,100
"Armenia","2022",47.4444444444444,2205.66666666667,4622.22222222222,500,0.104444444444444,0.0211111111111111,100
"Armenia","2023",47.2592592592593,2210.88888888889,4662.96296296296,500,0.105925925925926,0.0214814814814815,100
"Armenia","2024",47.0123456790123,2179.51851851852,4617.28395061728,500,0.104567901234568,0.0219753086419753,100
"Armenia","2025",47.238683127572,2198.69135802469,4634.15637860082,500,0.104979423868313,0.021522633744856,100
"Australia","2010",58,11963,21000,1000,0.05,0.01,500
"Australia","2011",61,13046,22000,1000,0.05,0.01,200
"Australia","2012",63,14300,23000,1000,0.05,0.01,200
"Australia","2013",71,16773,24000,1000,0.05,0.01,100
"Australia","2014",74,18156,25000,1000,0.04,0.01,100
"Australia","2015",76,19427,26000,1000,0.04,0.01,100
"Australia","2016",78,20695,26000,1000,0.04,0.01,100
"Australia","2017",80,21869,27000,1000,0.04,0.01,100
"Australia","2018",81,22890,28000,1000,0.04,0.01,100
"Australia","2019",82,23827,29000,1000,0.03,0.01,100
"Australia","2020",85,25134,30000,1000,0.03,0.01,100
"Australia","2021",82.6666666666667,23950.3333333333,29000,1000,0.0333333333333333,0.01,100
"Australia","2022",83.2222222222222,24303.7777777778,29333.3333333333,1000,0.0311111111111111,0.01,100
"Australia","2023",83.6296296296296,24462.7037037037,29444.4444444444,1000,0.0314814814814815,0.01,100
"Australia","2024",83.1728395061728,24238.9382716049,29259.2592592593,1000,0.0319753086419753,0.01,100
"Australia","2025",83.3415637860082,24335.1399176955,29345.6790123457,1000,0.031522633744856,0.01,100
"Austria","2010",0,0,0,0,0,0,0
"Austria","2011",0,0,0,0,0,0,0
"Austria","2012",0,0,0,0,0,0,0
"Austria","2013",0,0,0,0,0,0,0
"Austria","2014",0,0,0,0,0,0,0
"Austria","2015",0,0,0,0,0,0,0
"Austria","2016",0,0,0,0,0,0,0
"Austria","2017",0,0,0,0,0,0,0
"Austria","2018",0,0,0,0,0,0,0
"Austria","2019",0,0,0,0,0,0,0
"Austria","2020",0,0,0,0,0,0,0
"Austria","2021",0,0,0,0,0,0,0
"Austria","2022",0,0,0,0,0,0,0
"Austria","2023",0,0,0,0,0,0,0
"Austria","2024",0,0,0,0,0,0,0
"Austria","2025",0,0,0,0,0,0,0
"Azerbaijan","2010",7,587,8600,1000,0.08,0.05,500
"Azerbaijan","2011",11,941,8700,1000,0.07,0.04,500
"Azerbaijan","2012",15,1301,8800,1000,0.07,0.04,500
"Azerbaijan","2013",20,1771,8900,1000,0.06,0.03,500
"Azerbaijan","2014",20,1834,9100,1000,0.06,0.03,500
"Azerbaijan","2015",26,2374,9100,1000,0.06,0.03,500
"Azerbaijan","2016",31,2885,9300,1000,0.05,0.03,500
"Azerbaijan","2017",39,3658,9400,500,0.05,0.02,500
"Azerbaijan","2018",46,4374,9600,500,0.05,0.02,200
"Azerbaijan","2019",52,5086,9800,500,0.04,0.01,200
"Azerbaijan","2020",57,5618,9900,500,0.04,0.01,200
"Azerbaijan","2021",51.6666666666667,5026,9766.66666666667,500,0.0433333333333333,0.0133333333333333,200
"Azerbaijan","2022",53.5555555555556,5243.33333333333,9822.22222222222,500,0.0411111111111111,0.0111111111111111,200
"Azerbaijan","2023",54.0740740740741,5295.77777777778,9829.62962962963,500,0.0414814814814815,0.0114814814814815,200
"Azerbaijan","2024",53.0987654320988,5188.37037037037,9806.17283950617,500,0.0419753086419753,0.0119753086419753,200
"Azerbaijan","2025",53.5761316872428,5242.49382716049,9819.34156378601,500,0.041522633744856,0.011522633744856,200
