Country,2010,2010_Footnote, 2011,2011_Footnote, 2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote, 2020,2020_Footnote
Afghanistan,60,,114,,161,,214,,281,,350,,554,,847,,924,,1044,,1094,
Albania,131,"Children estimates were not available at the time of publication.",175,"Children estimates were not available at the time of publication.",237,"Children estimates were not available at the time of publication.",333,"Children estimates were not available at the time of publication.",372,"Children estimates were not available at the time of publication.",439,"Children estimates were not available at the time of publication.",513,"Children estimates were not available at the time of publication.",568,"Children estimates were not available at the time of publication.",581,"Children estimates were not available at the time of publication.",611,"Children estimates were not available at the time of publication.",678,"Children estimates were not available at the time of publication."
Algeria,2221,,2680,,3396,,4642,,6020,,7718,,9551,,11 044,,12 759,,14 390,,15 564,
Angola,22 036,,26 556,,31 736,,48 413,,63 028,,71 541,,69 841,,78 721,,88 734,,93 310,,111 188,
Argentina,46 566,,51 221,,55 876,,60 529,,65 185,,69 840,,74 493,,79 148,,83 803,,88 968,,90 770,
Armenia,250,,320,,449,,579,,740,,941,,1188,,1530,,1871,,2190,,2305,
Australia,11 963,"Children estimates were not available at the time of publication.",13 046,"Children estimates were not available at the time of publication.",14 300,"Children estimates were not available at the time of publication.",16 773,"Children estimates were not available at the time of publication.",18 156,"Children estimates were not available at the time of publication.",19 427,"Children estimates were not available at the time of publication.",20 695,"Children estimates were not available at the time of publication.",21 869,"Children estimates were not available at the time of publication.",22 890,"Children estimates were not available at the time of publication.",23 827,"Children estimates were not available at the time of publication.",25 134,"Children estimates were not available at the time of publication."
Austria,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Azerbaijan,587,,941,,1301,,1771,,1834,,2374,,2885,,3658,,4374,,5086,,5618,
Bahamas,1362,"Children estimates were not available at the time of publication.",1349,"Children estimates were not available at the time of publication.",1658,"Children estimates were not available at the time of publication.",1990,"Children estimates were not available at the time of publication.",2361,"Children estimates were not available at the time of publication.",2319,"Children estimates were not available at the time of publication.",2280,"Children estimates were not available at the time of publication.",2969,"Children estimates were not available at the time of publication.",3107,"Children estimates were not available at the time of publication.",3020,"Children estimates were not available at the time of publication.",2992,"Children estimates were not available at the time of publication."
Bahrain,62,"Estimates were not available at the time of publication.",71,"Estimates were not available at the time of publication.",79,"Estimates were not available at the time of publication.",87,"Estimates were not available at the time of publication.",99,"Estimates were not available at the time of publication.",115,"Estimates were not available at the time of publication.",121,"Estimates were not available at the time of publication.",140,"Estimates were not available at the time of publication.",149,"Estimates were not available at the time of publication.",155,"Estimates were not available at the time of publication.",161,"Estimates were not available at the time of publication."
Bangladesh,454,"Estimates were not available at the time of publication.",664,"Estimates were not available at the time of publication.",831,"Estimates were not available at the time of publication.",1083,"Estimates were not available at the time of publication.",1287,"Estimates were not available at the time of publication.",1483,"Estimates were not available at the time of publication.",1817,"Estimates were not available at the time of publication.",2470,"Estimates were not available at the time of publication.",3045,"Estimates were not available at the time of publication.",3388,"Estimates were not available at the time of publication.",5043,"Estimates were not available at the time of publication."
Barbados,873,"Estimates were not available at the time of publication.",929,"Estimates were not available at the time of publication.",1014,"Estimates were not available at the time of publication.",1077,"Estimates were not available at the time of publication.",1105,"Estimates were not available at the time of publication.",1139,"Estimates were not available at the time of publication.",1196,"Estimates were not available at the time of publication.",1271,"Estimates were not available at the time of publication.",1323,"Estimates were not available at the time of publication.",1405,"Estimates were not available at the time of publication.",1406,"Estimates were not available at the time of publication."
Belarus,2615,"Children estimates were not available at the time of publication.",3223,"Children estimates were not available at the time of publication.",4274,"Children estimates were not available at the time of publication.",5181,"Children estimates were not available at the time of publication.",5918,"Children estimates were not available at the time of publication.",7392,"Children estimates were not available at the time of publication.",8564,"Children estimates were not available at the time of publication.",11 242,"Children estimates were not available at the time of publication.",15 524,"Children estimates were not available at the time of publication.",17 714,"Children estimates were not available at the time of publication.",18 765,"Children estimates were not available at the time of publication."
